Frame,Pixel Count
GMG,0
MOG,0
MOG2,112896
KNN,112896
CNT,112896
GMG,0
MOG,597
MOG2,4050
KNN,112896
CNT,112896
GMG,0
MOG,953
MOG2,4846
KNN,112810
CNT,112896
GMG,0
MOG,960
MOG2,2909
KNN,112797
CNT,112896
GMG,0
MOG,924
MOG2,2816
KNN,6869
CNT,112896
GMG,0
MOG,1192
MOG2,4116
KNN,6038
CNT,112896
GMG,0
MOG,1198
MOG2,3470
KNN,6358
CNT,112896
GMG,0
MOG,1148
MOG2,2851
KNN,5758
CNT,112896
GMG,0
MOG,1129
MOG2,2511
KNN,5248
CNT,112896
GMG,0
MOG,1186
MOG2,2694
KNN,4925
CNT,112896
GMG,0
MOG,1230
MOG2,2939
KNN,5388
CNT,112896
GMG,0
MOG,1132
MOG2,2786
KNN,5403
CNT,112896
GMG,0
MOG,1228
MOG2,3023
KNN,5606
CNT,112896
GMG,0
MOG,1220
MOG2,2877
KNN,5665
CNT,112896
GMG,0
MOG,1223
MOG2,2565
KNN,5707
CNT,112896
GMG,0
MOG,1249
MOG2,3553
KNN,5741
CNT,6863
GMG,0
MOG,1206
MOG2,4408
KNN,5769
CNT,7012
GMG,0
MOG,1176
MOG2,4312
KNN,5428
CNT,6937
GMG,0
MOG,1231
MOG2,3244
KNN,5392
CNT,6955
GMG,0
MOG,1197
MOG2,3251
KNN,5260
CNT,6821
GMG,0
MOG,1168
MOG2,3509
KNN,5143
CNT,6822
GMG,0
MOG,1156
MOG2,3731
KNN,5371
CNT,6707
GMG,0
MOG,1148
MOG2,3876
KNN,5323
CNT,6649
GMG,0
MOG,1164
MOG2,3720
KNN,5279
CNT,6559
GMG,0
MOG,1220
MOG2,3812
KNN,5317
CNT,6541
GMG,0
MOG,1212
MOG2,3949
KNN,5250
CNT,6482
GMG,0
MOG,1218
MOG2,3780
KNN,5168
CNT,6438
GMG,0
MOG,1166
MOG2,3860
KNN,5131
CNT,6367
GMG,0
MOG,1196
MOG2,3823
KNN,4978
CNT,6300
GMG,0
MOG,1209
MOG2,3897
KNN,4943
CNT,6255
GMG,0
MOG,1198
MOG2,4231
KNN,4914
CNT,6224
GMG,0
MOG,1269
MOG2,4309
KNN,5089
CNT,6179
GMG,0
MOG,1284
MOG2,4329
KNN,4998
CNT,6164
GMG,0
MOG,1234
MOG2,4362
KNN,4907
CNT,6136
GMG,0
MOG,1264
MOG2,4221
KNN,4802
CNT,6109
GMG,0
MOG,1278
MOG2,4327
KNN,4781
CNT,6024
GMG,0
MOG,1257
MOG2,4440
KNN,4710
CNT,5964
GMG,0
MOG,1321
MOG2,4328
KNN,4750
CNT,5909
GMG,0
MOG,1312
MOG2,4400
KNN,4728
CNT,5864
GMG,0
MOG,1296
MOG2,4317
KNN,4724
CNT,5825
GMG,0
MOG,1287
MOG2,4303
KNN,4778
CNT,5726
GMG,0
MOG,1333
MOG2,4355
KNN,4798
CNT,5693
GMG,0
MOG,1383
MOG2,4487
KNN,4790
CNT,5622
GMG,0
MOG,1436
MOG2,4661
KNN,4846
CNT,5572
GMG,0
MOG,1400
MOG2,4617
KNN,4858
CNT,5529
GMG,0
MOG,1398
MOG2,5001
KNN,4970
CNT,5460
GMG,0
MOG,1380
MOG2,4953
KNN,4913
CNT,5415
GMG,0
MOG,1360
MOG2,4811
KNN,4909
CNT,5373
GMG,0
MOG,1294
MOG2,4735
KNN,4847
CNT,5268
GMG,0
MOG,1286
MOG2,4689
KNN,4811
CNT,5204
GMG,0
MOG,1316
MOG2,4825
KNN,4801
CNT,5194
GMG,0
MOG,1343
MOG2,4904
KNN,4920
CNT,5178
GMG,0
MOG,1282
MOG2,4661
KNN,4811
CNT,5100
GMG,0
MOG,1272
MOG2,4536
KNN,4739
CNT,5023
GMG,0
MOG,1295
MOG2,4416
KNN,4699
CNT,4927
GMG,0
MOG,1291
MOG2,4489
KNN,4635
CNT,4850
GMG,0
MOG,1330
MOG2,4359
KNN,4591
CNT,4887
GMG,0
MOG,1356
MOG2,4460
KNN,4598
CNT,4872
GMG,0
MOG,1297
MOG2,4490
KNN,4509
CNT,4818
GMG,0
MOG,1273
MOG2,4435
KNN,4510
CNT,4791
GMG,0
MOG,1359
MOG2,4596
KNN,4458
CNT,4836
GMG,0
MOG,1367
MOG2,4825
KNN,4491
CNT,4832
GMG,0
MOG,1313
MOG2,4740
KNN,4400
CNT,4715
GMG,0
MOG,1257
MOG2,4700
KNN,4369
CNT,4665
GMG,0
MOG,1211
MOG2,4539
KNN,4364
CNT,4576
GMG,0
MOG,1201
MOG2,4544
KNN,4358
CNT,4600
GMG,0
MOG,1209
MOG2,4484
KNN,4242
CNT,4519
GMG,0
MOG,1150
MOG2,4549
KNN,4248
CNT,4450
GMG,0
MOG,1131
MOG2,4423
KNN,4157
CNT,4360
GMG,0
MOG,1167
MOG2,4334
KNN,4187
CNT,4336
GMG,0
MOG,1148
MOG2,4183
KNN,4063
CNT,4242
GMG,0
MOG,1125
MOG2,4244
KNN,4000
CNT,4162
GMG,0
MOG,1102
MOG2,4194
KNN,4020
CNT,4091
GMG,0
MOG,1111
MOG2,4155
KNN,3939
CNT,4047
GMG,0
MOG,1126
MOG2,3903
KNN,3903
CNT,3995
GMG,0
MOG,1044
MOG2,4073
KNN,3950
CNT,3875
GMG,0
MOG,1043
MOG2,3983
KNN,3817
CNT,3804
GMG,0
MOG,1039
MOG2,3994
KNN,3838
CNT,3769
GMG,0
MOG,1000
MOG2,3985
KNN,3798
CNT,3736
GMG,0
MOG,1057
MOG2,3954
KNN,3783
CNT,3703
GMG,0
MOG,1095
MOG2,3979
KNN,3779
CNT,3710
GMG,0
MOG,1171
MOG2,4230
KNN,3922
CNT,3746
GMG,0
MOG,1203
MOG2,4264
KNN,3892
CNT,3745
GMG,0
MOG,1186
MOG2,4239
KNN,3910
CNT,3705
GMG,0
MOG,1201
MOG2,4328
KNN,3881
CNT,3677
GMG,0
MOG,1205
MOG2,4285
KNN,3900
CNT,3682
GMG,0
MOG,1270
MOG2,4349
KNN,3893
CNT,3660
GMG,0
MOG,1285
MOG2,4438
KNN,3952
CNT,3707
GMG,0
MOG,1281
MOG2,4447
KNN,3918
CNT,3687
GMG,0
MOG,1348
MOG2,4437
KNN,3973
CNT,3731
GMG,0
MOG,1351
MOG2,8947
KNN,4426
CNT,3850
GMG,0
MOG,1353
MOG2,8916
KNN,4447
CNT,3848
GMG,0
MOG,1381
MOG2,8913
KNN,4454
CNT,3859
GMG,0
MOG,1386
MOG2,8710
KNN,4446
CNT,3857
GMG,0
MOG,1474
MOG2,8701
KNN,4531
CNT,3933
GMG,0
MOG,1529
MOG2,8738
KNN,4653
CNT,3991
GMG,0
MOG,1586
MOG2,8894
KNN,4716
CNT,4045
GMG,0
MOG,1591
MOG2,8749
KNN,4707
CNT,4036
GMG,0
MOG,1559
MOG2,8705
KNN,4738
CNT,4034
GMG,0
MOG,1601
MOG2,8824
KNN,4782
CNT,4051
GMG,0
MOG,1634
MOG2,8801
KNN,4821
CNT,4121
GMG,0
MOG,1691
MOG2,8667
KNN,4868
CNT,4184
GMG,0
MOG,1627
MOG2,8599
KNN,4894
CNT,4156
GMG,0
MOG,1686
MOG2,8608
KNN,4868
CNT,4233
GMG,0
MOG,1622
MOG2,8592
KNN,4881
CNT,4210
GMG,0
MOG,1653
MOG2,8500
KNN,4902
CNT,4269
GMG,0
MOG,1630
MOG2,8500
KNN,4918
CNT,4298
GMG,0
MOG,1661
MOG2,8263
KNN,4873
CNT,4254
GMG,0
MOG,1622
MOG2,8069
KNN,4847
CNT,4252
GMG,0
MOG,1616
MOG2,7902
KNN,4779
CNT,4262
GMG,0
MOG,1599
MOG2,7693
KNN,4781
CNT,4282
GMG,0
MOG,1527
MOG2,7528
KNN,4715
CNT,4226
GMG,0
MOG,1482
MOG2,4550
KNN,4674
CNT,4223
GMG,0
MOG,1396
MOG2,4389
KNN,4641
CNT,4224
GMG,0
MOG,1418
MOG2,4332
KNN,4634
CNT,4250
GMG,0
MOG,1375
MOG2,4357
KNN,4633
CNT,4211
GMG,0
MOG,1394
MOG2,4376
KNN,4601
CNT,4224
GMG,0
MOG,1373
MOG2,4388
KNN,4548
CNT,4217
GMG,0
MOG,1362
MOG2,4407
KNN,4528
CNT,4197
GMG,0
MOG,1362
MOG2,4465
KNN,4556
CNT,4229
GMG,112896
MOG,1405
MOG2,4785
KNN,4692
CNT,4317
GMG,4214
MOG,1368
MOG2,4733
KNN,4688
CNT,4296
GMG,5452
MOG,1366
MOG2,4665
KNN,4607
CNT,4277
GMG,6112
MOG,1394
MOG2,4716
KNN,4635
CNT,4270
GMG,5548
MOG,1338
MOG2,4766
KNN,4648
CNT,4258
GMG,5530
MOG,1353
MOG2,4681
KNN,4601
CNT,4276
GMG,5317
MOG,1315
MOG2,4731
KNN,4639
CNT,4299
GMG,5254
MOG,1333
MOG2,4744
KNN,4651
CNT,4340
GMG,4917
MOG,1263
MOG2,4776
KNN,4696
CNT,4289
GMG,4892
MOG,1284
MOG2,4722
KNN,4636
CNT,4312
GMG,4761
MOG,1263
MOG2,4637
KNN,4615
CNT,4305
GMG,4729
MOG,1280
MOG2,4662
KNN,4622
CNT,4341
GMG,4660
MOG,1295
MOG2,4708
KNN,4681
CNT,4358
GMG,4605
MOG,1275
MOG2,4666
KNN,4646
CNT,4332
GMG,4535
MOG,1284
MOG2,4701
KNN,4666
CNT,4354
GMG,4637
MOG,1287
MOG2,4884
KNN,4720
CNT,4354
GMG,4660
MOG,1327
MOG2,5088
KNN,4858
CNT,4456
GMG,4627
MOG,1273
MOG2,4881
KNN,4765
CNT,4359
GMG,4544
MOG,1355
MOG2,4778
KNN,4729
CNT,4394
GMG,4492
MOG,1319
MOG2,4863
KNN,4794
CNT,4392
GMG,4392
MOG,1349
MOG2,4872
KNN,4780
CNT,4420
GMG,4503
MOG,1357
MOG2,4786
KNN,4730
CNT,4438
GMG,4552
MOG,1316
MOG2,4760
KNN,4702
CNT,4407
GMG,4552
MOG,1384
MOG2,4832
KNN,4732
CNT,4420
GMG,4566
MOG,1362
MOG2,4882
KNN,4767
CNT,4402
GMG,4685
MOG,1454
MOG2,4901
KNN,4787
CNT,4486
GMG,4671
MOG,1427
MOG2,4938
KNN,4830
CNT,4500
GMG,4776
MOG,1442
MOG2,4952
KNN,4837
CNT,4518
GMG,4825
MOG,1478
MOG2,5010
KNN,4877
CNT,4567
GMG,4897
MOG,1502
MOG2,5035
KNN,4851
CNT,4593
GMG,4978
MOG,1564
MOG2,5190
KNN,4962
CNT,4698
GMG,4982
MOG,1627
MOG2,5293
KNN,5065
CNT,4791
GMG,4905
MOG,1643
MOG2,5353
KNN,5078
CNT,4777
GMG,4913
MOG,1693
MOG2,5321
KNN,5046
CNT,4854
GMG,4975
MOG,1754
MOG2,5450
KNN,5150
CNT,4871
GMG,5052
MOG,1789
MOG2,5514
KNN,5183
CNT,4902
GMG,5011
MOG,1822
MOG2,5560
KNN,5252
CNT,5020
GMG,5193
MOG,1835
MOG2,5523
KNN,5223
CNT,4964
GMG,5099
MOG,1850
MOG2,5557
KNN,5249
CNT,4975
GMG,5132
MOG,1917
MOG2,5586
KNN,5370
CNT,5040
GMG,5241
MOG,1975
MOG2,5697
KNN,5458
CNT,5083
GMG,5228
MOG,1961
MOG2,5668
KNN,5459
CNT,5078
GMG,5376
MOG,1969
MOG2,5758
KNN,5485
CNT,5088
GMG,5310
MOG,1955
MOG2,5826
KNN,5524
CNT,5137
GMG,5365
MOG,1978
MOG2,5855
KNN,5565
CNT,5176
GMG,5364
MOG,1977
MOG2,5913
KNN,5647
CNT,5249
GMG,5453
MOG,1986
MOG2,6048
KNN,5768
CNT,5339
GMG,5470
MOG,1959
MOG2,6083
KNN,5786
CNT,5347
GMG,5557
MOG,1975
MOG2,6061
KNN,5833
CNT,5411
GMG,5571
MOG,1932
MOG2,6019
KNN,5782
CNT,5392
GMG,5494
MOG,1885
MOG2,5931
KNN,5733
CNT,5357
GMG,5579
MOG,1810
MOG2,5949
KNN,5739
CNT,5362
GMG,5464
MOG,1789
MOG2,5928
KNN,5738
CNT,5395
GMG,5432
MOG,1673
MOG2,5907
KNN,5706
CNT,5320
GMG,5356
MOG,1679
MOG2,5880
KNN,5704
CNT,5392
GMG,5251
MOG,1594
MOG2,5797
KNN,5624
CNT,5380
GMG,5145
MOG,1518
MOG2,5734
KNN,5599
CNT,5345
GMG,5149
MOG,1432
MOG2,5634
KNN,5606
CNT,5323
GMG,5030
MOG,1408
MOG2,5702
KNN,5581
CNT,5323
GMG,4969
MOG,1397
MOG2,5719
KNN,5587
CNT,5373
GMG,8179
MOG,1364
MOG2,8167
KNN,6143
CNT,5686
GMG,7636
MOG,1376
MOG2,8114
KNN,6071
CNT,5719
GMG,6965
MOG,1411
MOG2,8137
KNN,6036
CNT,5674
GMG,4781
MOG,1375
MOG2,8159
KNN,5968
CNT,5664
GMG,4808
MOG,1428
MOG2,8165
KNN,6056
CNT,5741
GMG,4730
MOG,1388
MOG2,8051
KNN,5940
CNT,5624
GMG,4694
MOG,1435
MOG2,8082
KNN,6027
CNT,5711
GMG,4691
MOG,1436
MOG2,8106
KNN,6075
CNT,5778
GMG,4602
MOG,1438
MOG2,8048
KNN,6007
CNT,5759
GMG,4513
MOG,1405
MOG2,8090
KNN,5989
CNT,5757
GMG,4491
MOG,1388
MOG2,8121
KNN,6088
CNT,5740
GMG,4499
MOG,1356
MOG2,8153
KNN,6058
CNT,5762
GMG,4454
MOG,1376
MOG2,8147
KNN,6173
CNT,5841
GMG,4383
MOG,1371
MOG2,8150
KNN,6192
CNT,5911
GMG,4264
MOG,1346
MOG2,8132
KNN,6134
CNT,5876
GMG,4337
MOG,1358
MOG2,8274
KNN,6237
CNT,5952
GMG,4226
MOG,1358
MOG2,8207
KNN,6239
CNT,6017
GMG,4305
MOG,1334
MOG2,8352
KNN,6312
CNT,6034
GMG,4228
MOG,1363
MOG2,8349
KNN,6298
CNT,6095
GMG,4157
MOG,1386
MOG2,8326
KNN,6346
CNT,6084
GMG,4200
MOG,1410
MOG2,8265
KNN,6390
CNT,6090
GMG,4240
MOG,1444
MOG2,8336
KNN,6465
CNT,6150
GMG,4196
MOG,1477
MOG2,8286
KNN,6434
CNT,6220
GMG,4200
MOG,1476
MOG2,8238
KNN,6419
CNT,6195
GMG,4164
MOG,1494
MOG2,8182
KNN,6371
CNT,6195
GMG,4289
MOG,1512
MOG2,8142
KNN,6381
CNT,6188
GMG,4237
MOG,1510
MOG2,8134
KNN,6383
CNT,6185
GMG,4238
MOG,1535
MOG2,8108
KNN,6423
CNT,6214
GMG,4247
MOG,1497
MOG2,8023
KNN,6412
CNT,6200
GMG,4144
MOG,1519
MOG2,8058
KNN,6400
CNT,6231
GMG,4233
MOG,1539
MOG2,8311
KNN,6602
CNT,6411
GMG,4226
MOG,1542
MOG2,8020
KNN,6421
CNT,6206
GMG,4327
MOG,1503
MOG2,7880
KNN,6368
CNT,6153
GMG,4269
MOG,1558
MOG2,7847
KNN,6386
CNT,6170
GMG,4232
MOG,1549
MOG2,7811
KNN,6421
CNT,6185
GMG,4287
MOG,1580
MOG2,7694
KNN,6367
CNT,6153
GMG,4324
MOG,1522
MOG2,7638
KNN,6291
CNT,6125
GMG,4314
MOG,1548
MOG2,7572
KNN,6293
CNT,6140
GMG,4399
MOG,1531
MOG2,7440
KNN,6200
CNT,6055
GMG,4391
MOG,1535
MOG2,7272
KNN,6166
CNT,6039
GMG,4361
MOG,1516
